メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 2WD,2000,6MT,57,AP1,5 - すごくきれい,256 ~ 260,2024/4/1,,2000,,黒,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2004,6MT,135,AP1,4 - きれい,261 ~ 264,2024/3/1,タイプV,2000,,黒,AC AW 革
ホンダ,S2000 オープン 2WD,2006,6MT,148,AP2,4 - きれい,169 ~ 172,2024/3/1,ベースグレード,2200,7.5,黒,AC
ホンダ,S2000 オープン 2WD,2007,6MT,31,AP2,5 - すごくきれい,390 ～ 394,2024/2/1,ベースグレード,2000,7.8,黒,AC
ホンダ,S2000 2WD,1999,6MT,171,AP1,3 - 普通,181 ～ 185,2024/2/1,,2000,7.9,黒,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2009,6MT,42,AP2,5 - すごくきれい,400 ～ 403,2023/12/1,ベースグレード,2000,,黒,AC
ホンダ,S2000 2WD,2009,6MT,22,AP2,5 - すごくきれい,448 ～ 453,2023/11/1,,2000,,黒,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,43,AP2,4 - きれい,417 ～ 421,2023/11/1,ベースグレード,2000,,黒,AC NV TV AW 革
ホンダ,S2000 2WD,2003,6MT,303,AP1,3 - 普通,92 ～ 97,2023/11/1,ベースグレード,2000,,黒,AC
ホンダ,S2000 2WD,2006,6MT,51,AP2,3 - 普通,302 ～ 307,2023/10/1,ベースグレード,2000,6.3,黒,AC 革
ホンダ,S2000 オープン 2WD,1999,6MT,147,AP1,4 - きれい,122 ～ 126,2023/10/1,タイプＳ,2200,7.2,黒,AC AW
ホンダ,S2000 2WD,1999,6MT,117,AP1,3 - 普通,135 ～ 140,2023/10/1,,2000,,黒,AC 革
ホンダ,S2000 2WD,2007,6MT,113,AP2,4 - きれい,228 ～ 231,2023/9/1,,2000,,黒,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2009,6MT,71,AP2,4 - きれい,382 ～ 386,2023/9/1,,2200,,黒,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,112,AP1,3 - 普通,154 ～ 158,2023/9/1,,2000,,黒,AC AW 革
ホンダ,S2000 オープン 2WD,2006,6MT,29,AP2,3 - 普通,272 ～ 276,2023/9/1,,2000,5.12,黒,AC
ホンダ,S2000 オープン 2WD,2000,6MT,226,AP1,3 - 普通,111 ～ 114,2023/9/1,タイプＶ,2200,,黒,AC
ホンダ,S2000 2WD,2007,6MT,168,AP2,3 - 普通,214 ～ 217,2023/8/1,ベースグレード,2000,6.11,黒,AC NV 革
ホンダ,S2000 オープン 2WD,2000,6MT,135,AP1,4 - きれい,154 ～ 159,2023/7/1,,2200,6.5,黒,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2003,6MT,132,AP1,3 - 普通,150 ～ 154,2023/7/1,,2200,6.3,黒,AC 革
ホンダ,S2000 オープン 2WD,2003,6MT,130,AP1,4 - きれい,172 ～ 178,2023/7/1,,2200,,黒,AC 革
ホンダ,S2000 オープン 2WD,1999,6MT,24,AP1,4 - きれい,220 ～ 224,2023/6/1,タイプＳ,2200,,黒,AC
