メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 2WD,2000,6MT,141,AP1,3 - 普通,131 ~ 136,2024/3/1,,2000,7.1,青,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2001,6MT,63,AP1,4 - きれい,228 ～ 231,2024/3/1,,2000,,青,AC AW 革
ホンダ,S2000 2WD,2009,6MT,101,AP2,4 - きれい,237 ～ 242,2024/3/1,タイプＶ,2000,6.11,青,AC NV AW 革
ホンダ,S2000 オープン 2WD,2004,6MT,58,AP1,5 - すごくきれい,392 ～ 398,2024/3/1,,2000,6.9,青,AC
ホンダ,S2000 2WD,2001,6MT,89,AP1,4 - きれい,217 ～ 220,2023/12/1,タイプＳ,2200,,青,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2002,6MT,120,AP1,4 - きれい,203 ～ 207,2023/12/1,,2000,,青,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,77,AP1,3 - 普通,220 ～ 225,2023/12/1,ベースグレード,2000,,青,AC
ホンダ,S2000 オープン 2WD,2004,6MT,98,AP1,4 - きれい,189 ～ 194,2023/11/1,ベースグレード,2000,7.12,青,AC NV TV AW SR 革
ホンダ,S2000 2WD,2002,6MT,102,AP1,4 - きれい,211 ～ 216,2023/10/1,タイプＶ,2000,6.1,青,AC
ホンダ,S2000 2WD,2006,6MT,50,AP2,5 - すごくきれい,362 ～ 367,2023/10/1,,2000,7.3,青,AC AW 革
ホンダ,S2000 オープン 2WD,2007,6MT,131,AP2,4 - きれい,219 ～ 225,2023/10/1,タイプＳ,2200,6.11,青,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,82,AP1,4 - きれい,227 ～ 233,2023/10/1,,2000,,青,AC
ホンダ,S2000 2WD,2005,6MT,125,AP1,4 - きれい,234 ～ 237,2023/10/1,,2000,,青,AC AW 革
ホンダ,S2000 2WD,1999,6MT,204,AP1,3 - 普通,143 ～ 148,2023/10/1,ベースグレード,2000,6.11,青,AC 革
ホンダ,S2000 オープン 2WD,2002,6MT,178,AP1,3 - 普通,120 ～ 122,2023/9/1,ベースグレード,2000,,青,AC
ホンダ,S2000 2WD,2002,6MT,172,AP1,3 - 普通,105 ～ 111,2023/9/1,タイプＶ,2000,,青,AC AW
ホンダ,S2000 オープン 2WD,1999,6MT,78,AP1,5 - すごくきれい,190 ～ 195,2023/8/1,タイプＳ,2200,,青,AC NV TV AW 革
ホンダ,S2000 2WD,2002,6MT,94,AP1,4 - きれい,233 ～ 236,2023/8/1,ベースグレード,2000,6.12,青,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2007,6MT,130,AP2,4 - きれい,236 ～ 239,2023/7/1,タイプＳ,2200,,青,AC AW
ホンダ,S2000 オープン 2WD,2001,6MT,45,AP1,4 - きれい,228 ～ 230,2023/7/1,,2000,,青,AC
ホンダ,S2000 オープン 2WD,1999,6MT,108,AP1,3 - 普通,163 ～ 169,2023/7/1,,2000,,青,AC
ホンダ,S2000 オープン 2WD,1999,6MT,158,AP1,3 - 普通,160 ～ 164,2023/7/1,ベースグレード,2200,,青,AC NV TV AW SR 革
ホンダ,S2000 2WD,2003,6MT,125,AP1,4 - きれい,157 ～ 162,2023/7/1,ベースグレード,2000,5.1,青,AC AW 革
ホンダ,S2000 2WD,2004,6MT,81,AP1,4 - きれい,266 ～ 270,2023/7/1,,2000,5.11,青,AC AW
ホンダ,S2000 2WD,2000,6MT,171,AP1,3 - 普通,130 ～ 132,2023/7/1,ベースグレード,2000,6.1,青,AC
ホンダ,S2000 2WD,1999,6MT,57,AP1,4 - きれい,217 ～ 221,2023/7/1,タイプＶ,2200,,青,AC NV 革
ホンダ,S2000 オープン 2WD,2009,6MT,39,AP2,4 - きれい,423 ～ 427,2023/6/1,タイプＳ,2200,6.6,青,AC AW
ホンダ,S2000 オープン 2WD,2006,6MT,18,AP2,5 - すごくきれい,401 ～ 405,2023/6/1,ベースグレード,2000,6.7,青,AC 革
