メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 2WD,2000,6MT,141,AP1,-1 - 修復歴あり,126 ~ 132,2024/4/1,,2000,7.5,青,AC 革
ホンダ,S2000 オープン 2WD,1999,6MT,142,AP1,-1 - 修復歴あり,139 ～ 142,2024/3/1,タイプＶ,2200,,青,AC AW 革
ホンダ,S2000 2WD,2000,6MT,119,AP1,-1 - 修復歴あり,117 ～ 121,2024/2/1,タイプＳ,2200,7.1,青,AC AW
ホンダ,S2000 オープン 2WD,2000,6MT,227,AP1,-1 - 修復歴あり,105 ～ 110,2024/1/1,タイプＶ,2200,,青,AC NV 革
ホンダ,S2000 オープン 2WD,2000,6MT,139,AP1,-1 - 修復歴あり,133 ～ 138,2023/10/1,ベースグレード,2200,6.7,青,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,43,AP1,-1 - 修復歴あり,181 ～ 187,2023/10/1,,2200,7.4,青,AC AW
ホンダ,S2000 2WD,2002,6MT,157,AP1,-1 - 修復歴あり,125 ～ 131,2023/9/1,,2200,6.2,青,AC NV AW
ホンダ,S2000 オープン 2WD,2002,6MT,113,AP1,-1 - 修復歴あり,120 ～ 126,2023/9/1,,2000,6.8,青,AC 革
ホンダ,S2000 オープン 2WD,2001,6MT,116,AP1,-1 - 修復歴あり,143 ～ 148,2023/8/1,,2200,,青,AC
ホンダ,S2000 オープン 2WD,2002,6MT,152,AP1,-1 - 修復歴あり,129 ～ 131,2023/7/1,,2000,7.5,青,AC
ホンダ,S2000 2WD,1999,6MT,119,AP1,-1 - 修復歴あり,149 ～ 153,2023/7/1,タイプＶ,2000,,青,AC
