メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 2WD,2009,6MT,103,AP2,4 - きれい,257 ~ 262,2024/4/1,,2200,,パープル,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2005,6MT,91,AP1,5 - すごくきれい,268 ～ 272,2024/3/1,タイプＶ,2000,,パープル,AC AW 革
ホンダ,S2000 オープン 2WD,2006,6MT,75,AP2,5 - すごくきれい,314 ～ 320,2024/3/1,タイプＶ,2000,7.3,パープル,AC AW 革
ホンダ,S2000 オープン 2WD,2003,6MT,72,AP1,4 - きれい,284 ～ 290,2024/2/1,タイプＳ,2200,,パープル,AC AW
ホンダ,S2000 2WD,2004,6MT,68,AP1,4 - きれい,322 ～ 328,2024/1/1,タイプＶ,2000,7.2,パープル,AC
ホンダ,S2000 オープン 2WD,1999,6MT,157,AP1,3 - 普通,156 ～ 158,2023/9/1,タイプＶ,2000,,パープル,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,20,AP2,5 - すごくきれい,442 ～ 447,2023/9/1,,2200,6.8,パープル,AC AW 革
ホンダ,S2000 2WD,2000,6MT,128,AP1,4 - きれい,140 ～ 143,2023/8/1,タイプＶ,2000,6.7,パープル,AC AW 革
ホンダ,S2000 オープン 2WD,2009,6MT,54,AP2,4 - きれい,424 ～ 428,2023/8/1,ベースグレード,2000,,パープル,AC
ホンダ,S2000 オープン 2WD,2002,6MT,140,AP1,4 - きれい,217 ～ 220,2023/7/1,,2000,6.3,パープル,AC 革
