メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 オープン 2WD,1999,6MT,91,AP1,3 - 普通,219 ~ 223,2024/4/1,ベースグレード,2000,,赤,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,213,AP1,3 - 普通,149 ~ 153,2024/4/1,,2000,,赤,AC AW SR
ホンダ,S2000 オープン 2WD,2000,6MT,90,AP1,4 - きれい,224 ~ 229,2024/4/1,ベースグレード,2000,7.7,赤,AC
ホンダ,S2000 2WD,2006,6MT,93,AP2,4 - きれい,238 ~ 243,2024/4/1,,2200,,赤,AC
ホンダ,S2000 オープン 2WD,1999,6MT,111,AP1,4 - きれい,309 ~ 314,2024/3/1,ベースグレード,2000,6.4,赤,AC AW 革
ホンダ,S2000 オープン 2WD,2000,6MT,85,AP1,4 - きれい,209 ~ 212,2024/3/1,ベースグレード,2000,7.4,赤,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,31,AP1,5 - すごくきれい,284 ～ 286,2024/3/1,ベースグレード,2000,,赤,AC
ホンダ,S2000 オープン 2WD,2009,6MT,28,AP2,4 - きれい,467 ～ 471,2024/2/1,,2000,,赤,AC NV AW 革
ホンダ,S2000 2WD,2006,6MT,47,AP2,4 - きれい,308 ～ 313,2023/12/1,,2000,5.12,赤,AC AW
ホンダ,S2000 オープン 2WD,2000,6MT,64,AP1,3 - 普通,192 ～ 198,2023/10/1,ベースグレード,2000,,赤,AC NV TV AW 革
ホンダ,S2000 2WD,2002,6MT,118,AP1,3 - 普通,149 ～ 153,2023/10/1,ベースグレード,2000,,赤,AC 革
ホンダ,S2000 オープン 2WD,2006,6MT,249,AP2,3 - 普通,168 ～ 171,2023/10/1,,2000,7.1,赤,AC AW
ホンダ,S2000 オープン 2WD,2003,6MT,17,AP1,5 - すごくきれい,305 ～ 309,2023/10/1,ベースグレード,2000,6.11,赤,AC
ホンダ,S2000 オープン 2WD,2007,6MT,37,AP2,5 - すごくきれい,380 ～ 383,2023/7/1,タイプＶ,2000,,赤,AC AW SR 革
ホンダ,S2000 オープン 2WD,2001,6MT,101,AP1,4 - きれい,183 ～ 187,2023/7/1,,2000,7.3,赤,AC
