メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 2WD,2007,6MT,99,AP2,4 - きれい,271 ~ 273,2024/4/1,,2200,,白,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,60,AP1,3 - 普通,256 ~ 260,2024/4/1,,2000,,白,AC
ホンダ,S2000 2WD,1999,6MT,156,AP1,3 - 普通,184 ~ 187,2024/4/1,,2000,8.1,白,AC AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,121,AP1,4 - きれい,253 ~ 258,2024/3/1,ベースグレード,2000,6.1,白,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,158,AP1,3 - 普通,142 ~ 146,2024/3/1,ベースグレード,2000,6.8,白,AC NV TV AW 革
ホンダ,S2000 2WD,2006,6MT,169,AP2,3 - 普通,189 ~ 192,2024/3/1,,2200,6.9,白,AC NV TV AW 革
ホンダ,S2000 2WD,2004,6MT,51,AP1,5 - すごくきれい,312 ～ 317,2024/3/1,タイプＶ,2000,,白,AC
ホンダ,S2000 2WD,2007,6MT,29,AP2,5 - すごくきれい,469 ～ 474,2024/3/1,,2000,,白,AC
ホンダ,S2000 2WD,2001,6MT,272,AP1,3 - 普通,130 ～ 132,2024/3/1,,2000,,白,AC
ホンダ,S2000 オープン 2WD,2001,6MT,69,AP1,4 - きれい,195 ～ 199,2024/3/1,ベースグレード,2000,7.1,白,AC AW 革
ホンダ,S2000 2WD,2007,6MT,43,AP2,4 - きれい,337 ～ 340,2024/3/1,ベースグレード,2200,,白,AC AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,88,AP1,3 - 普通,263 ～ 268,2024/2/1,ベースグレード,2200,7.12,白,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,112,AP1,4 - きれい,269 ～ 273,2024/2/1,,2000,6.11,白,AC NV AW 革
ホンダ,S2000 2WD,1999,6MT,208,AP1,3 - 普通,173 ～ 177,2024/2/1,ベースグレード,2000,,白,AC AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,104,AP2,4 - きれい,307 ～ 309,2024/2/1,,2000,6.4,白,AC NV AW 革
ホンダ,S2000 2WD,2002,6MT,67,AP1,3 - 普通,225 ～ 230,2024/1/1,,2000,7.11,白,AC
ホンダ,S2000 オープン 2WD,2007,6MT,22,AP2,5 - すごくきれい,429 ～ 432,2024/1/1,ベースグレード,2000,6.5,白,AC
ホンダ,S2000 オープン 2WD,2008,6MT,85,AP2,4 - きれい,341 ～ 343,2023/12/1,ベースグレード,2000,,白,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2000,6MT,97,AP1,4 - きれい,152 ～ 154,2023/12/1,,2200,,白,AC AW
ホンダ,S2000 2WD,2000,6MT,154,AP1,3 - 普通,105 ～ 109,2023/11/1,タイプＳ,2200,7.1,白,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2001,6MT,160,AP1,3 - 普通,149 ～ 152,2023/10/1,タイプＳ,2200,5.12,白,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2006,6MT,80,AP2,5 - すごくきれい,298 ～ 301,2023/10/1,,2200,7.8,白,AC
ホンダ,S2000 2WD,2003,6MT,12,AP1,3 - 普通,362 ～ 367,2023/10/1,,2200,7.4,白,AC
ホンダ,S2000 オープン 2WD,2007,6MT,71,AP2,4 - きれい,330 ～ 333,2023/10/1,ベースグレード,2000,,白,AC
ホンダ,S2000 2WD,2004,6MT,7,AP1,5 - すごくきれい,425 ～ 430,2023/10/1,,2200,7.3,白,AC
ホンダ,S2000 オープン 2WD,2002,6MT,136,AP1,3 - 普通,143 ～ 147,2023/9/1,,2000,,白,AC
ホンダ,S2000 2WD,1999,6MT,119,AP1,3 - 普通,145 ～ 147,2023/9/1,,2000,7.4,白,AC
ホンダ,S2000 2WD,2007,6MT,14,AP2,5 - すごくきれい,368 ～ 372,2023/9/1,,2000,,白,AC
ホンダ,S2000 2WD,1999,6MT,82,AP1,4 - きれい,178 ～ 184,2023/8/1,ベースグレード,2200,,白,AC AW 革
ホンダ,S2000 オープン 2WD,2001,6MT,109,AP1,3 - 普通,155 ～ 160,2023/8/1,,2200,,白,AC AW 革
ホンダ,S2000 オープン 2WD,2001,6MT,79,AP1,3 - 普通,169 ～ 173,2023/7/1,ベースグレード,2000,,白,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,88,AP1,4 - きれい,205 ～ 208,2023/7/1,ベースグレード,2000,6.11,白,AC
ホンダ,S2000 2WD,1999,6MT,139,AP1,3 - 普通,135 ～ 138,2023/7/1,,2200,,白,AC SR 革
ホンダ,S2000 オープン 2WD,2006,6MT,50,AP2,4 - きれい,318 ～ 321,2023/7/1,,2000,5.6,白,AC 革
ホンダ,S2000 オープン 2WD,2009,6MT,59,AP2,5 - すごくきれい,459 ～ 462,2023/7/1,ベースグレード,2000,6.6,白,AC 革
ホンダ,S2000 オープン 2WD,2007,6MT,57,AP2,5 - すごくきれい,343 ～ 348,2023/6/1,タイプＳ,2200,,白,AC AW
ホンダ,S2000 オープン 2WD,1999,6MT,103,AP1,3 - 普通,157 ～ 161,2023/6/1,ベースグレード,2000,6.8,白,AC NV TV AW SR 革
ホンダ,S2000 2WD,2000,6MT,83,AP1,4 - きれい,189 ～ 192,2023/6/1,ベースグレード,2200,,白,AC
ホンダ,S2000 オープン 2WD,2005,6MT,111,AP2,4 - きれい,244 ～ 248,2023/6/1,ベースグレード,2000,6.7,白,AC
