メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 オープン 2WD,2000,6MT,91,AP1,3 - 普通,245 ~ 248,2024/4/1,ベースグレード,2000,7.3,黄,AC
ホンダ,S2000 オープン 2WD,1999,6MT,103,AP1,4 - きれい,264 ~ 266,2024/3/1,ベースグレード,2000,6.9,黄,AC NV TV AW SR 革
ホンダ,S2000 2WD,2003,6MT,210,AP1,3 - 普通,137 ~ 140,2024/3/1,,2000,,黄,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,48,AP1,5 - すごくきれい,370 ～ 375,2024/3/1,2000,,6.9,黄,AC NV TV AW 革
ホンダ,S2000 2WD,2002,6MT,108,AP1,4 - きれい,218 ～ 223,2024/3/1,タイプＶ,2000,,黄,AC AW
ホンダ,S2000 オープン 2WD,2000,6MT,129,AP1,4 - きれい,175 ～ 179,2024/3/1,タイプＶ,2000,,黄,AC 革
ホンダ,S2000 オープン 2WD,2008,6MT,72,AP2,4 - きれい,378 ～ 382,2023/10/1,ベースグレード,2000,6.2,黄,AC AW 革
ホンダ,S2000 2WD,2008,6MT,70,AP2,5 - すごくきれい,327 ～ 333,2023/10/1,,2000,,黄,AC AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,99,AP2,3 - 普通,307 ～ 312,2023/10/1,ベースグレード,2200,6.2,黄,AC 革
ホンダ,S2000 2WD,2000,6MT,100,AP1,4 - きれい,209 ～ 213,2023/9/1,タイプＳ,2200,6.7,黄,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2001,6MT,116,AP1,4 - きれい,181 ～ 185,2023/8/1,ベースグレード,2000,,黄,AC AW
ホンダ,S2000 2WD,1999,6MT,107,AP1,4 - きれい,167 ～ 171,2023/8/1,タイプＳ,2200,,黄,AC AW
ホンダ,S2000 オープン 2WD,2007,6MT,62,AP2,4 - きれい,355 ～ 360,2023/7/1,ベースグレード,2000,,黄,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2000,6MT,48,AP1,3 - 普通,212 ～ 218,2023/7/1,ベースグレード,2000,6.6,黄,AC AW 革
ホンダ,S2000 オープン 2WD,2001,6MT,147,AP1,3 - 普通,149 ～ 154,2023/6/1,ベースグレード,2000,,黄,AC NV TV AW 革
ホンダ,S2000 2WD,2006,6MT,116,AP2,4 - きれい,217 ～ 223,2023/6/1,ベースグレード,2000,6.3,黄,AC AW
