メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 2WD,2000,6MT,35,AP1,5 - すごくきれい,297 ~ 301,2024/4/1,,2000,6.12,グレー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2002,6MT,180,AP1,3 - 普通,127 ~ 131,2024/4/1,タイプV,2000,7.11,グレー,AC NV TV AW 革
ホンダ,S2000 2WD,2001,6MT,17,AP1,4 - きれい,270 ~ 274,2024/4/1,,2000,,グレー,AC AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,221,AP1,3 - 普通,162 ~ 167,2024/4/1,ベースグレード,2000,6.2,グレー,AC 革
ホンダ,S2000 オープン 2WD,2000,6MT,88,AP1,5 - すごくきれい,254 ~ 256,2024/4/1,ベースグレード,2000,7.6,グレー,AC 革
ホンダ,S2000 オープン 2WD,2009,6MT,52,AP2,4 - きれい,347 ~ 353,2024/3/1,ベースグレード,2200,,グレー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2007,6MT,42,AP2,5 - すごくきれい,349 ～ 354,2024/3/1,ベースグレード,2000,6.12,グレー,AC NV AW
ホンダ,S2000 オープン 2WD,1999,6MT,156,AP1,3 - 普通,197 ～ 200,2024/2/1,タイプＶ,2000,7.1,グレー,AC
ホンダ,S2000 2WD,1999,6MT,998,AP1,3 - 普通,188 ～ 192,2024/2/1,ベースグレード,2000,7.7,グレー,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2008,6MT,101,AP2,4 - きれい,254 ～ 258,2024/2/1,ベースグレード,2000,7.6,グレー,AC AW SR 革
ホンダ,S2000 2WD,2000,6MT,86,AP1,4 - きれい,224 ～ 227,2024/2/1,タイプＳ,2200,7.6,グレー,AC NV AW SR 革
ホンダ,S2000 オープン 2WD,2000,6MT,74,AP1,4 - きれい,201 ～ 206,2024/1/1,ベースグレード,2000,5.12,グレー,AC 革
ホンダ,S2000 オープン 2WD,2009,6MT,45,AP2,5 - すごくきれい,397 ～ 402,2024/1/1,,2000,,グレー,AC 革
ホンダ,S2000 オープン 2WD,2001,6MT,124,AP1,4 - きれい,204 ～ 207,2023/12/1,,2000,,グレー,AC
ホンダ,S2000 オープン 2WD,1999,6MT,1000,AP1,3 - 普通,142 ～ 146,2023/10/1,,2000,,グレー,AC AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,101,AP1,4 - きれい,177 ～ 182,2023/10/1,,2000,,グレー,AC AW
ホンダ,S2000 2WD,2001,6MT,183,AP1,3 - 普通,102 ～ 107,2023/10/1,ベースグレード,2000,6.12,グレー,AC AW 革
ホンダ,S2000 2WD,2006,6MT,46,AP2,5 - すごくきれい,350 ～ 353,2023/10/1,,2000,,グレー,AC
ホンダ,S2000 オープン 2WD,2000,6MT,63,AP1,4 - きれい,212 ～ 217,2023/8/1,ベースグレード,2000,,グレー,AC 革
ホンダ,S2000 オープン 2WD,2007,6MT,56,AP2,5 - すごくきれい,427 ～ 430,2023/8/1,,2000,6.1,グレー,AC 革
ホンダ,S2000 オープン 2WD,2008,6MT,80,AP2,4 - きれい,300 ～ 304,2023/8/1,,2000,,グレー,AC AW
ホンダ,S2000 オープン 2WD,2008,6MT,76,AP2,5 - すごくきれい,389 ～ 394,2023/7/1,ベースグレード,2000,6.5,グレー,AC AW
ホンダ,S2000 オープン 2WD,2009,6MT,104,AP2,3 - 普通,328 ～ 334,2023/7/1,タイプＶ,2000,6.2,グレー,AC
ホンダ,S2000 2WD,2006,6MT,86,AP2,3 - 普通,276 ～ 281,2023/7/1,ベースグレード,2000,6.1,グレー,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2001,6MT,90,AP1,4 - きれい,247 ～ 250,2023/7/1,,2000,5.12,グレー,
ホンダ,S2000 オープン 2WD,2004,6MT,5,AP1,5 - すごくきれい,355 ～ 360,2023/7/1,,2000,,グレー,AC 革
ホンダ,S2000 2WD,2002,6MT,208,AP1,3 - 普通,107 ～ 110,2023/6/1,ベースグレード,2000,6.4,グレー,AC NV TV AW SR 革
ホンダ,S2000 2WD,2000,6MT,38,AP1,3 - 普通,195 ～ 198,2023/6/1,ベースグレード,2000,,グレー,AC NV TV AW 革
ホンダ,S2000 2WD,2000,6MT,34,AP1,3 - 普通,193 ～ 199,2023/6/1,,2000,5.1,グレー,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,62,AP1,3 - 普通,198 ～ 202,2023/6/1,,2000,,グレー,AC NV TV AW 革
ホンダ,S2000 2WD,2008,6MT,48,AP2,5 - すごくきれい,318 ～ 322,2023/6/1,ベースグレード,2000,,グレー,AC NV TV AW SR 革
ホンダ,S2000 2WD,1999,6MT,29,AP1,4 - きれい,261 ～ 264,2023/6/1,,2000,6.7,グレー,AC
ホンダ,S2000 オープン 2WD,1999,6MT,35,AP1,5 - すごくきれい,265 ～ 270,2023/6/1,,2000,,グレー,AC AW
